threshold,tp,fp,tn,fn,cost
0.16677386634663868,63,1043,500,2,323900
0.16678188049705775,63,1042,501,2,323600
0.16688105744595116,63,1041,502,2,323300
0.16745486779746666,63,1040,503,2,323000
0.16779600571790057,63,1039,504,2,322700
0.16915085555672713,63,1038,505,2,322400
0.16959578247598886,63,1037,506,2,322100
0.1698224562428855,63,1036,507,2,321800
0.1698255181316671,63,1035,508,2,321500
0.1699326714767433,63,1034,509,2,321200
0.16993737084993002,63,1033,510,2,320900
0.16997634388379607,63,1032,511,2,320600
0.17040549531408297,63,1031,512,2,320300
0.1708987154600239,63,1030,513,2,320000
0.1710412357494621,63,1029,514,2,319700
0.17105329451328372,63,1028,515,2,319400
0.171182351310683,63,1027,516,2,319100
0.17122950352666483,63,1026,517,2,318800
0.171543915072948,63,1025,518,2,318500
0.1717851348543078,63,1024,519,2,318200
0.1720358469125964,63,1023,520,2,317900
0.1723910953040638,63,1022,521,2,317600
0.17271170434396632,63,1021,522,2,317300
0.17282117936415356,63,1020,523,2,317000
0.17284933615316553,63,1019,524,2,316700
0.17300243347195565,63,1018,525,2,316400
0.1730460049082818,63,1017,526,2,316100
0.1730972913131466,63,1016,527,2,315800
0.17322112487354044,63,1015,528,2,315500
0.1732564058000286,63,1014,529,2,315200
0.1736841185295745,63,1013,530,2,314900
0.1736943954573531,63,1012,531,2,314600
0.17429202095860274,63,1011,532,2,314300
0.17474867700100366,63,1010,533,2,314000
0.17481931793810893,63,1009,534,2,313700
0.17539266735444847,63,1008,535,2,313400
0.1754492509832544,63,1007,536,2,313100
0.1756406905883916,63,1006,537,2,312800
0.17586754401004695,63,1005,538,2,312500
0.17607769582737828,63,1004,539,2,312200
0.1762483528751745,63,1003,540,2,311900
0.17663336556342804,62,1003,540,3,317400
0.17666184350931452,62,1002,541,3,317100
0.17684513184647208,62,1001,542,3,316800
0.17690226124468403,62,1000,543,3,316500
0.1773298527950001,62,999,544,3,316200
0.17756430502577966,62,998,545,3,315900
0.17759809862119827,62,997,546,3,315600
0.17760173336962073,62,996,547,3,315300
0.17767688399863668,62,995,548,3,315000
0.17772725057820454,62,994,549,3,314700
0.17775475855829537,61,994,549,4,320200
0.1779581896622158,61,993,550,4,319900
0.17806572529805764,61,992,551,4,319600
0.1782917975382016,61,991,552,4,319300
0.1785322570843772,61,990,553,4,319000
0.1786740171517203,61,989,554,4,318700
0.17901020009866525,61,988,555,4,318400
0.17940401287620955,61,987,556,4,318100
0.17949868078016473,61,986,557,4,317800
0.17999941875435987,61,985,558,4,317500
0.18089528167595492,61,984,559,4,317200
0.18102806163791227,61,983,560,4,316900
0.1811300012423665,61,982,561,4,316600
0.18173988104484748,61,981,562,4,316300
0.18187220506595517,61,980,563,4,316000
0.18205291876338772,61,979,564,4,315700
0.18242277541520968,61,978,565,4,315400
0.18278229049479242,61,977,566,4,315100
0.18279996656050712,61,976,567,4,314800
0.18311006155346934,61,975,568,4,314500
0.18313247826731546,61,974,569,4,314200
0.18361875762265836,61,973,570,4,313900
0.18477475198960838,61,972,571,4,313600
0.18501775651930494,61,971,572,4,313300
0.18504253918044986,61,970,573,4,313000
0.18508175181503894,61,969,574,4,312700
0.1852795939698435,61,968,575,4,312400
0.18528451505090696,61,967,576,4,312100
0.18570729715067893,61,966,577,4,311800
0.18601556063545985,61,965,578,4,311500
0.18611838071326192,61,964,579,4,311200
0.186308127452275,61,963,580,4,310900
0.1867564692817455,61,962,581,4,310600
0.1870418025688292,61,961,582,4,310300
0.18714415837797235,61,960,583,4,310000
0.18740478478041356,60,960,583,5,315500
0.18790035867634103,60,959,584,5,315200
0.1879834531486343,60,958,585,5,314900
0.18875387927685774,60,957,586,5,314600
0.18889758674395044,60,956,587,5,314300
0.18893226239825794,60,955,588,5,314000
0.1889457523533001,60,954,589,5,313700
0.18945342027781295,60,953,590,5,313400
0.18949023474546156,60,952,591,5,313100
0.18951786584635746,60,951,592,5,312800
0.18962764905779253,60,950,593,5,312500
0.18990421370378638,60,949,594,5,312200
0.1901104271492045,60,948,595,5,311900
0.19031107340060088,60,947,596,5,311600
0.19151583092697763,60,946,597,5,311300
0.19190049958494032,60,945,598,5,311000
0.19222209347164007,60,944,599,5,310700
0.19268911243475328,60,943,600,5,310400
0.1928092133140488,60,942,601,5,310100
0.19287522663457143,60,941,602,5,309800
0.19328809134671537,60,940,603,5,309500
0.19356949110996466,60,939,604,5,309200
0.19370605926746706,60,938,605,5,308900
0.19373774788835232,60,937,606,5,308600
0.19383904913069186,60,936,607,5,308300
0.19444175588278398,60,935,608,5,308000
0.19446338584709033,60,934,609,5,307700
0.1945116332815176,60,933,610,5,307400
0.19524898494189033,60,932,611,5,307100
0.1952654878000512,60,931,612,5,306800
0.19556719655445662,60,930,613,5,306500
0.1958005297990833,60,929,614,5,306200
0.19594610159227463,60,928,615,5,305900
0.19606945686442487,60,927,616,5,305600
0.19608184655387526,60,926,617,5,305300
0.19627322935807542,60,925,618,5,305000
0.19664020642364688,60,924,619,5,304700
0.1967441417061796,60,923,620,5,304400
0.19696266926162473,60,922,621,5,304100
0.19703665419377003,60,921,622,5,303800
0.19721325167178358,60,920,623,5,303500
0.1983397918717413,60,919,624,5,303200
0.19851872923707906,60,918,625,5,302900
0.1988522956367226,60,917,626,5,302600
0.19888229859956055,60,916,627,5,302300
0.199270313056712,60,915,628,5,302000
0.1992901979532336,60,914,629,5,301700
0.19948099012870404,60,913,630,5,301400
0.19956816725270005,60,912,631,5,301100
0.1996888587792512,60,911,632,5,300800
0.19976782034264357,60,910,633,5,300500
0.2002046706822595,60,909,634,5,300200
0.20029093329956218,60,908,635,5,299900
0.20098356890950328,60,907,636,5,299600
0.200996948329164,60,906,637,5,299300
0.20101767130418044,60,905,638,5,299000
0.20105278241906885,60,904,639,5,298700
0.20120624276372925,60,903,640,5,298400
0.20175694218667597,60,902,641,5,298100
0.20269351003020591,60,901,642,5,297800
0.20278823060457807,60,900,643,5,297500
0.2028259116485284,60,899,644,5,297200
0.20296949298059816,60,898,645,5,296900
0.20397624283786997,60,897,646,5,296600
0.2041771299200772,60,896,647,5,296300
0.20418649610282805,60,895,648,5,296000
0.2046857387045122,60,894,649,5,295700
0.20547900626432314,60,893,650,5,295400
0.20575597750143948,60,892,651,5,295100
0.2057954704717537,60,891,652,5,294800
0.2058004563102537,60,890,653,5,294500
0.20717965138567954,60,889,654,5,294200
0.20771454466222744,60,888,655,5,293900
0.20801205318844715,60,887,656,5,293600
0.20801239150004208,60,886,657,5,293300
0.20802163574694205,60,885,658,5,293000
0.2080758599500462,60,884,659,5,292700
0.20819862341180376,60,883,660,5,292400
